text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,
"RT @rtehrani: Congrats!

@Mocana raises $15 million for #IoT #cybersecurity https://t.co/ncF6gWE0zZ

#cybercrime #cyberattacks #hacker #hac…",FALSE,0,NA,3/4/2019 16:14,FALSE,NA,1.1026E+18,NA,"<a href=\https://www.iottogether.com\"" rel=\""nofollow\"">Retweet not</a>""",IoTtogether,2,TRUE,FALSE,NA,NA,,,
"RT @IndieWriterRach: A deadly #virus is killing the world, Izzy and her younger brother must #survive the #apocalypse they must #evolve &amp; #…",FALSE,0,NA,3/4/2019 16:13,FALSE,NA,1.1026E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",Meursault74,9,TRUE,FALSE,NA,NA,,,
"Congrats!

@Mocana raises $15 million for #IoT #cybersecurity https://t.co/ncF6gWE0zZ

#cybercrime #cyberattacks… https://t.co/GCOMPANYM3",FALSE,1,NA,3/4/2019 16:12,TRUE,NA,1.1026E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",rtehrani,2,FALSE,FALSE,NA,NA,,,
"RT @debterazer_com: RT @rtehrani: .@Avast: Why #IoT security should be your number one security worry https://t.co/EOXmOz3Mxa

#Cybersecuri…",FALSE,0,NA,3/4/2019 16:11,FALSE,NA,1.1026E+18,NA,"<a href=\https://ho.com\"" rel=\""nofollow\"">auto is the only way it can be </a>""",sectest9,1,TRUE,FALSE,NA,NA,,,
"RT @IndieWriterRach: A deadly #virus is killing the world, Izzy and her younger brother must #survive the #apocalypse they must #evolve &amp; #…",FALSE,0,NA,3/4/2019 16:11,FALSE,NA,1.1026E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",KhristSchecter,9,TRUE,FALSE,NA,NA,,,
"RT @IndieWriterRach: A deadly #virus is killing the world, Izzy and her younger brother must #survive the #apocalypse they must #evolve &amp; #…",FALSE,0,NA,3/4/2019 16:11,FALSE,NA,1.1026E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",IndieWriterRach,9,TRUE,FALSE,NA,NA,,,
"RT @AmeshAA: “It’s not coming down like you would expect, but we have had seasons in the last few years where #influenza-like illness was a…",FALSE,0,NA,3/4/2019 16:10,FALSE,NA,1.1026E+18,NA,"<a href=\http://www.samruston.co.uk\"" rel=\""nofollow\"">Flamingo for Android</a>""",H7N9Influenza,1,TRUE,FALSE,NA,NA,,,
RT @rtehrani: .@Avast: Why #IoT security should be your number one security worry https://t.co/EOXmOz3Mxa… https://t.co/izER02wnrg,FALSE,0,NA,3/4/2019 16:08,TRUE,NA,1.1026E+18,NA,"<a href=\https://ifttt.com\"" rel=\""nofollow\"">IFTTT</a>""",debterazer_com,1,FALSE,FALSE,NA,NA,,,
RT @Fla_Medic: AFD Blog `CDC #FLuView Week 8: #Flu Remains Elevated - H3N2 Clade 3C.3a Continues Rise'  https://t.co/fV3jBFngJY,FALSE,0,NA,3/4/2019 16:04,FALSE,NA,1.1026E+18,NA,"<a href=\http://www.samruston.co.uk\"" rel=\""nofollow\"">Flamingo for Android</a>""",H7N9Influenza,3,TRUE,FALSE,NA,NA,,,
Don’t wait...vaccinate! #flu https://t.co/f7HhPkILGK,FALSE,1,NA,3/4/2019 16:04,FALSE,NA,1.1026E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",HCAhealthcare,0,FALSE,FALSE,NA,NA,,,
Healio Primary Care Today spoke with Dr. Niederman about aspiration #pneumonia. Read here: https://t.co/SaJLh5OvIh   @NEJM,FALSE,0,NA,3/4/2019 16:03,FALSE,NA,1.1026E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",HealioFM,0,FALSE,FALSE,NA,NA,,,
"RT @CDCFlu: Widespread #flu activity is being reported by 49 states and Puerto Rico. Help stop the spread of flu and take 3 actions: 

1<U+FE0F><U+20E3>…",FALSE,0,NA,3/4/2019 16:03,FALSE,NA,1.1026E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",bjpatterson61,16,TRUE,FALSE,NA,NA,,,
"RT @rtehrani: .@Avast: Why #IoT security should be your number one security worry https://t.co/naNOkpKnMS

#Cybersecurity #cybercrime #cybe…",FALSE,0,NA,3/4/2019 16:03,FALSE,NA,1.1026E+18,NA,"<a href=\http://twinybots.com\"" rel=\""nofollow\"">TwinyBots</a>""",melissablive,2,TRUE,FALSE,NA,NA,,,
Partnerships @ASTHO @CDCgov help reach disadvantaged populations through #influenza initiatives and must continue t… https://t.co/APnW09FiSL,FALSE,0,NA,3/4/2019 16:01,TRUE,NA,1.1026E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",JasonKirchick,0,FALSE,FALSE,NA,NA,,,
This week's #Meet3iMonday spotlight is Dr. Andrew Pavia (@AndrewPaviaMD). Dr. Pavia is the Division Chief of Infect… https://t.co/bYf541TNSv,FALSE,0,NA,3/4/2019 16:01,TRUE,NA,1.1026E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",UofU3i,1,FALSE,FALSE,NA,NA,,,
"RT @rtehrani: .@Avast: Why #IoT security should be your number one security worry https://t.co/naNOkpKnMS

#Cybersecurity #cybercrime #cybe…",FALSE,0,NA,3/4/2019 16:01,FALSE,NA,1.1026E+18,NA,"<a href=\https://ho.com\"" rel=\""nofollow\"">auto is the only way it can be </a>""",sectest9,2,TRUE,FALSE,NA,NA,,,
"RT @CDCFlu: Widespread #flu activity is being reported by 49 states and Puerto Rico. Help stop the spread of flu and take 3 actions: 

1<U+FE0F><U+20E3>…",FALSE,0,NA,3/4/2019 15:59,FALSE,NA,1.1026E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",HankIngram,16,TRUE,FALSE,NA,NA,,,
"RT @CDCFlu: Widespread #flu activity is being reported by 49 states and Puerto Rico. Help stop the spread of flu and take 3 actions: 

1<U+FE0F><U+20E3>…",FALSE,0,NA,3/4/2019 15:59,FALSE,NA,1.1026E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",Donnaleusner,16,TRUE,FALSE,NA,NA,,,
".@Avast: Why #IoT security should be your number one security worry https://t.co/naNOkpKnMS

#Cybersecurity… https://t.co/mGPgZoUgz9",FALSE,0,NA,3/4/2019 15:59,TRUE,NA,1.1026E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",rtehrani,2,FALSE,FALSE,NA,NA,,,
"RT @CDCFlu: Widespread #flu activity is being reported by 49 states and Puerto Rico. Help stop the spread of flu and take 3 actions: 

1<U+FE0F><U+20E3>…",FALSE,0,NA,3/4/2019 15:58,FALSE,NA,1.1026E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",mjtepait,16,TRUE,FALSE,NA,NA,,,
"RT @CDCFlu: Widespread #flu activity is being reported by 49 states and Puerto Rico. Help stop the spread of flu and take 3 actions: 

1<U+FE0F><U+20E3>…",FALSE,0,NA,3/4/2019 15:58,FALSE,NA,1.1026E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",ShawnFnLucas,16,TRUE,FALSE,NA,NA,,,
"RT @CDCFlu: Q: Does everyone who is sick with #flu need antivirals?

A: Most healthy people recover from flu without treatment. But people…",FALSE,0,NA,3/4/2019 15:55,FALSE,NA,1.1026E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",AHPediatrics,10,TRUE,FALSE,NA,NA,,,
"RT @CDCFlu: Widespread #flu activity is being reported by 49 states and Puerto Rico. Help stop the spread of flu and take 3 actions: 

1<U+FE0F><U+20E3>…",FALSE,0,NA,3/4/2019 15:55,FALSE,NA,1.1026E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",danielvincent,16,TRUE,FALSE,NA,NA,,,
"RT @CDCFlu: Widespread #flu activity is being reported by 49 states and Puerto Rico. Help stop the spread of flu and take 3 actions: 

1<U+FE0F><U+20E3>…",FALSE,0,NA,3/4/2019 15:54,FALSE,NA,1.1026E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",MikeReyII,16,TRUE,FALSE,NA,NA,,,
.@BGOV @business The Flu Is Spreading Across America a Little Later This Season https://t.co/Wmgz2WqmA1 @FayCortez… https://t.co/Lvm1RpyrTE,FALSE,1,NA,3/4/2019 15:54,TRUE,NA,1.1026E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",phsu54,0,FALSE,FALSE,NA,NA,,,
"RT @CDCFlu: Widespread #flu activity is being reported by 49 states and Puerto Rico. Help stop the spread of flu and take 3 actions: 

1<U+FE0F><U+20E3>…",FALSE,0,NA,3/4/2019 15:54,FALSE,NA,1.1026E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",ernestma,16,TRUE,FALSE,NA,NA,,,
"According to the #PneuVUE study, #older people's are less aware of #pneumonia and it's impacts than they think they… https://t.co/M5LtSicrSK",FALSE,2,NA,3/4/2019 15:54,TRUE,NA,1.1026E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",vaccines4life,1,FALSE,FALSE,NA,NA,,,
Widespread #flu activity is being reported by 49 states and Puerto Rico. Help stop the spread of flu and take 3 act… https://t.co/kel5B1eDVQ,FALSE,15,NA,3/4/2019 15:53,TRUE,NA,1.1026E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",CDCFlu,16,FALSE,FALSE,NA,NA,,,
"#Yoga teacher: soften your mind.
Me: ...I can soften my face but dunno how to soften my mind.
Plus, I hate it when… https://t.co/xsxDaH0JH9",FALSE,0,NA,3/4/2019 15:50,TRUE,NA,1.1026E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",mashasrin,0,FALSE,FALSE,NA,NA,,,
RT @AAFANational: Feeling like you might have the flu? It's important to start antiviral treatments within 48 hrs of onset. Call your doc -…,FALSE,0,NA,3/4/2019 15:48,FALSE,NA,1.1026E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",MidwestASA,2,TRUE,FALSE,NA,NA,,,
This couldn't be any worse. Pure pro-#vaccines Pharma propaganda from this bozo @TheLewisBlack. Never watch the… https://t.co/LayFSMC4PP,FALSE,3,NA,3/4/2019 15:43,TRUE,NA,1.1026E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",CollChris,0,FALSE,FALSE,NA,NA,,,
Please there are preventative #pneumonia shots for seniors— &amp; there are senior doses of #flu shots too. Not sure ab… https://t.co/rPIyal63Zn,FALSE,0,NA,3/4/2019 15:43,TRUE,NA,1.1026E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",WinSpinCIC,0,FALSE,FALSE,NA,NA,,,
"RT @Unbeelievable: We are all a-buzz (sorry)! <U+0001F41D>

2 @BeautyShortlist Awards-
Best immune supplement
Best energy &amp; concentration supp

Find i…",FALSE,0,NA,3/4/2019 15:38,FALSE,NA,1.10259E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Unbeelievable,3,TRUE,FALSE,NA,NA,,,
When you’re at the dr office for routine labs and you’re asked to wear a mask. Room full of people with masks!… https://t.co/iy6X2LE5sS,FALSE,0,NA,3/4/2019 15:35,TRUE,NA,1.10259E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",CampobelloCathy,0,FALSE,FALSE,NA,NA,,,
"Add strep to the flu, because this girl has both #wintersucks #fluseason",FALSE,0,NA,3/4/2019 15:35,FALSE,NA,1.10259E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",danifit_nh,0,FALSE,FALSE,NA,NA,,,
RT @thatsntmyage: Can someone turn this into an emoji #influencers #influenza @fabhat https://t.co/NYGY1LBd9A,FALSE,0,NA,3/4/2019 15:35,FALSE,NA,1.10259E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",FireballDeena,2,TRUE,FALSE,NA,NA,,,
Did you know that transplant patients are at an increased risk of having severe complications from #flu?… https://t.co/YGqOgrpYqW,FALSE,0,NA,3/4/2019 15:35,TRUE,NA,1.10259E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",StateHealthIN,0,FALSE,FALSE,NA,NA,,,
"What's the worst non-life-threatening illness? I'm talking colds, diarrhea, pink eye...

For me it's Strep Throat.… https://t.co/0ipIcmJdl1",FALSE,1,NA,3/4/2019 15:28,TRUE,NA,1.10259E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",1003TheBear,0,FALSE,FALSE,NA,NA,,,
RT @pophealthNYC: The @WHO has listed vaccine hesitancy—the delay in acceptance or refusal of vaccines despite their availability—as one of…,FALSE,0,NA,3/4/2019 15:27,FALSE,NA,1.10259E+18,NA,"<a href=\http://twitter.com/#!/download/ipad\"" rel=\""nofollow\"">Twitter for iPad</a>""",shasimss,1,TRUE,FALSE,NA,NA,,,
Our #healthcare protocols assist you through transitions and will work to keep you compliant... thus saving money a… https://t.co/AZEW1mop5f,FALSE,0,NA,3/4/2019 15:27,TRUE,NA,1.10259E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",GVHSrx,0,FALSE,FALSE,NA,NA,,,
"Both my little man and I are down #sosick taking turns praying to the porcelain \god\"" not sure what we did to deser… https://t.co/qCTRkiNHkE""",FALSE,0,NA,3/4/2019 15:26,TRUE,NA,1.10259E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",badassinahat,0,FALSE,FALSE,NA,NA,,,
RT @CoercedTaxSlave: @doctorsensation 32 Billion dollars is a lot of money to make with zero liability exposure in the US. That's a lot of…,FALSE,0,NA,3/4/2019 15:23,FALSE,NA,1.10259E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",Biegenzahn,12,TRUE,FALSE,NA,NA,,,
"#MobileMonday

The Mobile Products forum on our Support #Community is a great place to ask questions, share informa… https://t.co/lON1FKA4OF",FALSE,0,NA,3/4/2019 15:19,TRUE,NA,1.10259E+18,NA,"<a href=\https://www.spredfast.com/\"" rel=\""nofollow\"">Spredfast app</a>""",McAfee_Help,0,FALSE,FALSE,NA,NA,,,
RT @BonesMoses: #PSA: I have now banned 2075 IP addresses from crawling my site. It looks like there's a new raft of #malware / #virus out…,FALSE,0,NA,3/4/2019 15:11,FALSE,NA,1.10259E+18,NA,"<a href=\https://ho.com\"" rel=\""nofollow\"">auto is the only way it can be </a>""",sectest9,1,TRUE,FALSE,NA,NA,,,
#FluFact: It takes 2 weeks after getting the #flu vaccine for protective antibodies to start to work #ReadyForFlu https://t.co/3tHt0McHuP,FALSE,0,NA,3/4/2019 15:10,FALSE,NA,1.10259E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",NHSaaa,0,FALSE,FALSE,NA,NA,,,
RT @BonesMoses: #PSA: I have now banned 2075 IP addresses from crawling my site. It looks like there's a new raft of #malware / #virus out…,FALSE,0,NA,3/4/2019 15:09,FALSE,NA,1.10259E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",RustProofLabs,1,TRUE,FALSE,NA,NA,,,
"Although most people with #influenza should be treated within two days of developing symptoms, those at high #risk… https://t.co/8bHAMcpM6y",FALSE,0,NA,3/4/2019 14:59,TRUE,NA,1.10258E+18,NA,"<a href=\https://www.socialreport.com\"" rel=\""nofollow\"">SocialReport.com</a>""",GreenLPharmaUK,0,FALSE,FALSE,NA,NA,,,
RT @outlandtrophy: Our 2018 @outlandtrophy recipient. #FightFlu and @NFIDvaccines. https://t.co/laJKWFaizV,FALSE,0,NA,3/4/2019 14:59,FALSE,NA,1.10258E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",RyanCFowler,5,TRUE,FALSE,NA,NA,,,
"RT @CDCFlu: CDC estimates that there have been as many as 22,300 flu-associated deaths so far this season (between Oct. 1, 2018 – Feb. 16,…",FALSE,0,NA,3/4/2019 14:58,FALSE,NA,1.10258E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",delamed,70,TRUE,FALSE,NA,NA,,,
"Don’t let the flu interrupt your spring break plans. Lucky for you, there’s still time to get the flu shot. Walk-in… https://t.co/37fMcBidtB",FALSE,0,NA,3/4/2019 14:56,TRUE,NA,1.10258E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",Beak_Healthy,0,FALSE,FALSE,NA,NA,,,
"RT @uabmedicine: James Markert, MD, UAB #neurosurgeon, has been studying viral therapies for #braintumors for 25+ years. He tells us more a…",FALSE,0,NA,3/4/2019 14:53,FALSE,NA,1.10258E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",Tyler_K_Greer,5,TRUE,FALSE,NA,NA,,,
"RT @DrNancyM_CDC: This season, don’t ignore #flu symptoms. Seek medical care promptly if you are very sick or have flu symptoms and are at…",FALSE,0,NA,3/4/2019 14:47,FALSE,NA,1.10258E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",DrNancyM_CDC,4,TRUE,FALSE,NA,NA,,,
