
"lon","lat"
-86.2938637,37.4800544
-112.0740373,33.4483771
4.9035614,52.3679843
-95.712891,37.09024
-77.1527578,39.0839973
-94.5785667,39.0997265
-111.8910474,40.7607793
-106.346771,56.130366
-99.9018131,31.9685988
-1.117547,50.794995
-73.2006639,41.2428563
78.486671,17.385044
-79.5394625,43.8430176
-94.1610825,30.1250015
0.290472,50.768035
-95.712891,37.09024
-86.7816016,36.1626638
-75.1969346,39.8422093
-73.212072,44.4758825
-111.8910474,40.7607793
-80.4139393,37.2295733
-79.3831843,43.653226
-95.712891,37.09024
-84.5120196,39.1031182
-91.9623327,30.9842977
-77.0368707,38.9071923
-66.4619164,46.5653163
-84.3879824,33.7489954
-79.3831843,43.653226
-88.9906312,40.5142026
-79.9958864,40.4406248
-0.1277583,51.5073509
-82.1501112,35.1156713
-74.0059728,40.7127753
-86.1349019,40.2671941
-113.4909267,53.544389
-83.985,42.43472
-86.3977735,39.8433769
-95.712891,37.09024
-96.6988856,33.0198431
-4.6679959,55.3649698
-105.7820674,39.5500507
-2.737095,53.456307
-87.5691735,33.2098407
-75.7496572,39.6837226
-95.2352501,38.9716689
-86.8103567,33.5185892
-84.3879824,33.7489954
-94.6858998,46.729553
-88.2825668,42.0354084
28.0473051,-26.2041028
-71.467566,42.7653662
-106.346771,56.130366
-76.6412712,39.0457549
-87.5691735,33.2098407
-74.0059728,40.7127753
-77.0368707,38.9071923
-97.1341783,32.9412363
-95.712891,37.09024
-96.6088805,33.6356618
-79.9310512,32.7764749
-63.5752387,44.6487635
-3.7037902,40.4167754
-73.087749,41.6032207
-86.7816016,36.1626638
-89.3985283,40.6331249
-77.1527578,39.0839973
-77.1527578,39.0839973
-80.2321313,35.3014554
-94.6287122,39.1148385
-95.6400855,37.0329949
-95.6400855,37.0329949
-95.6400855,37.0329949
8.541694,47.3768866
-88.0072909,41.9750287
-121.4943996,38.5815719
-80.8431267,35.2270869
-82.6402915,27.7676008
-77.1945247,41.2033216
-85.7584557,38.2526647
-0.9936306,53.100319
-71.0588801,42.3600825
-74.0059728,40.7127753
-77.2013705,39.1434406
-121.8863286,37.3382082
-95.712891,37.09024
-122.272747,37.8715926
-3.435973,55.378051
100.5017651,13.7563309
-0.1277583,51.5073509
-77.9318208,40.7248216
-77.0909809,38.8816208
-6.2603097,53.3498053
-95.712891,37.09024
-83.1140771,40.0992294
-95.972262,36.7491737
72.8776559,19.0759837
9.501785,56.26392
-93.2922989,37.2089572
0.076251,51.556619
-71.09416,42.360091
-95.3698028,29.7604267
-111.0937311,39.3209801
55.2707828,25.2048493
55.2707828,25.2048493
-73.8713099,40.7737505
-97.1080656,32.735687
153.0251235,-27.4697707
-0.1277583,51.5073509
-85.3096801,35.0456297
-78.6568942,37.4315734
-1.1743197,52.3555177
-77.0368707,38.9071923
-83.7430378,42.2808256
-90.1994042,38.6270025
11.2558136,43.7695604
8.541694,47.3768866
8.541694,47.3768866
-95.712891,37.09024
-85.6023643,44.3148443
6.9602786,50.937531
-0.1277583,51.5073509
-73.9712488,40.7830603
-3.530875,50.7155591
-4.135998,50.9546459
7.5885761,47.5595986
-93.2929161,37.2249884
-81.655651,30.3321838
28.2292712,-25.7478676
100.5017651,13.7563309
-122.788377,45.4604
4.4777326,51.9244201
2.213749,46.227638
-2.1266325,53.3933102
-77.1527578,39.0839973
-2.9915726,53.4083714
-4.135998,50.9546459
76.9537513,11.0111975
-97.7430608,30.267153
-2.9915726,53.4083714
22.937506,-30.559482
-122.3177114,47.6136581
78.486671,17.385044
11.0421988,59.9929184
-2.094523,53.478764
15.2551187,54.5259614
-95.6400855,37.0329949
-3.7037902,40.4167754
-95.712891,37.09024
-71.0588801,42.3600825
-1.584927,52.282316
-4.7793835,37.8881751
-81.6943605,41.49932
18.5344435,-33.8659683
-104.9739333,39.5480789
11.8767611,45.4064349
-94.6858998,46.729553
-121.2721718,38.6446264
-114.7420408,44.0682019
-117.1610838,32.715738
-95.712891,37.09024
-95.712891,37.09024
32.5825197,0.3475964
-79.3831843,43.653226
-79.3831843,43.653226
32.290275,1.373333
-95.712891,37.09024
