,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,
18,"Vitamin D Is More Effective Than #Flu #Vaccine, #Study Says

https://t.co/Af7eKMRvGN https://t.co/quobcvn4fB",FALSE,1,NA,3/1/2019 20:56,FALSE,NA,1.10E+18,NA,"<a href=""http://ViraBurnayeva.com"" rel=""nofollow"">Vaccines and Homeopathy News</a>",ViraBurnayeva,2,FALSE,FALSE,NA,NA,,,
19,Flu season isn't over. February was a busy month for both @MedCenterHealth and @TriStarHealth due to #flu activity. https://t.co/4og9v8iCDs,FALSE,0,NA,3/1/2019 20:56,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",eggersdailynews,0,FALSE,FALSE,NA,NA,,,
20,RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…,FALSE,0,NA,3/1/2019 20:54,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DamonGrovesReal,7,TRUE,FALSE,NA,NA,,,
21,RT @Renovation_Tea: Check out our February #Newsletter and catch up on the latest health news and tips for leading a healthy life!  https:/…,FALSE,0,NA,3/1/2019 20:54,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DamonGrovesReal,7,TRUE,FALSE,NA,NA,,,
22,RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…,FALSE,0,NA,3/1/2019 20:53,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DamonGrovesReal,7,TRUE,FALSE,NA,NA,,,
23,RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…,FALSE,0,NA,3/1/2019 20:52,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SeriousIda,7,TRUE,FALSE,NA,NA,,,
24,RT @Renovation_Tea: Check out our February #Newsletter and catch up on the latest health news and tips for leading a healthy life!  https:/…,FALSE,0,NA,3/1/2019 20:52,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SeriousIda,7,TRUE,FALSE,NA,NA,,,
25,RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…,FALSE,0,NA,3/1/2019 20:52,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SeriousIda,7,TRUE,FALSE,NA,NA,,,
26,RT @andreasavage: #Home #Flu #Day6 I think my cat says hi at the end of this video. #continuewithyourday https://t.co/TrXETWqLzU,FALSE,0,NA,3/1/2019 20:51,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",madisoonsmitth,3,TRUE,FALSE,NA,NA,,,
27,"RT @BoneJointJ: Surgeons from @HSpecialSurgery find that in #elderly #patients with #hip #fractures, early #surgery within 24 hours is inde…",FALSE,0,NA,3/1/2019 20:51,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BrianThornes,7,TRUE,FALSE,NA,NA,,,
28,RT @Renovation_Tea: Check out our February #Newsletter and catch up on the latest health news and tips for leading a healthy life!  https:/…,FALSE,0,NA,3/1/2019 20:51,FALSE,NA,1.10E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",PenceDr,7,TRUE,FALSE,NA,NA,,,
29,RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…,FALSE,0,NA,3/1/2019 20:50,FALSE,NA,1.10E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",PenceDr,7,TRUE,FALSE,NA,NA,,,
30,Need to recycle your old #electronic devices? We offer local businesses and organizations recycling services at no… https://t.co/SZc34nPVAj,FALSE,0,NA,3/1/2019 20:50,TRUE,NA,1.10E+18,NA,"<a href=""http://www.reputationmailer.com/privacy/"" rel=""nofollow"">Social Reputation</a>",ApplecoreSam,0,FALSE,FALSE,NA,NA,,,
31,"RT @famfightflu: Shortly after Jessica, Emily and Amanda lost their lives to #flu their parents set out to prevent other flu-related hospit…",FALSE,0,NA,3/1/2019 20:49,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",chrisyanke,6,TRUE,FALSE,NA,NA,,,
32,RT @Renovation_Tea: Check out our February #Newsletter and catch up on the latest health news and tips for leading a healthy life!  https:/…,FALSE,0,NA,3/1/2019 20:49,FALSE,NA,1.10E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",KhronosCryptos,7,TRUE,FALSE,NA,NA,,,
33,RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…,FALSE,0,NA,3/1/2019 20:49,FALSE,NA,1.10E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",KhronosCryptos,7,TRUE,FALSE,NA,NA,,,
34,"RT @BoneJointJ: Surgeons from @HSpecialSurgery find that in #elderly #patients with #hip #fractures, early #surgery within 24 hours is inde…",FALSE,0,NA,3/1/2019 20:46,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",feet2knees,7,TRUE,FALSE,NA,NA,,,
35,RT @Renovation_Tea: Check out our February #Newsletter and catch up on the latest health news and tips for leading a healthy life!  https:/…,FALSE,0,NA,3/1/2019 20:46,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",XVG_Bridget,7,TRUE,FALSE,NA,NA,,,
36,RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…,FALSE,0,NA,3/1/2019 20:46,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",XVG_Bridget,7,TRUE,FALSE,NA,NA,,,
37,"@thehill Lack of education, particularly in elected officials, is to blame for the sad state of America today.… https://t.co/I37KeuaRQi",FALSE,7,thehill,3/1/2019 20:45,TRUE,1.10E+18,1.10E+18,1917731,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jodyvance,0,FALSE,FALSE,NA,NA,,,
38,Egg-Based #Vaccines Less Protective Against Circulating #Flu Viruses @agargmd https://t.co/b8ZaUvcx26,FALSE,0,NA,3/1/2019 20:45,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",shinju10,0,FALSE,FALSE,NA,NA,,,
39,@andreasavage #home #flu try ass cubes...,FALSE,0,andreasavage,3/1/2019 20:44,FALSE,1.10E+18,1.10E+18,141269137,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jimmysfla,0,FALSE,FALSE,NA,NA,,,
40,RT @tkradio: Heads up y'all this #flu is for reals... https://t.co/R6XEI2G3zU,FALSE,0,NA,3/1/2019 20:44,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Libbyj2006,1,TRUE,FALSE,NA,NA,,,
41,Heads up y'all this #flu is for reals... https://t.co/R6XEI2G3zU,FALSE,0,NA,3/1/2019 20:43,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tkradio,1,FALSE,FALSE,NA,NA,,,
42,"@bill3558 @mccaffreyr3 How can anyone support a #Virus

How can anyone support #Cancer

How can anyone support… https://t.co/L3cU43587L",FALSE,0,bill3558,3/1/2019 20:42,TRUE,1.10E+18,1.10E+18,8.07E+17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",HAL_LE_LU_YAH,0,FALSE,FALSE,NA,NA,,,
43,"RT @CDCFlu: Correct answer: Yes! Antivirals and antibiotics are different. Antibiotics fight against bacterial infections, while antivirals…",FALSE,0,NA,3/1/2019 20:42,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",vip1850,3,TRUE,FALSE,NA,NA,,,
44,"RT @RDxWhatElse: Nonna Rosa ...a hand hygiene fanatic.
To wash, or not to wash, that is the great question.
#motivation #handwashing #start…",FALSE,0,NA,3/1/2019 20:40,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RDxWhatElse,4,TRUE,FALSE,NA,NA,,,
45,RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…,FALSE,0,NA,3/1/2019 20:40,FALSE,NA,1.10E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",DinahQChon,7,TRUE,FALSE,NA,NA,,,
